ordem,id_genius,cep,logradouro,numero,complemento,bairro,cidade,estado,ativa,split_logistico_ativo,tipo_restritor,id_restritor,entrega_fisica_ativa,restricao_entrega_fisica,loja_virtual,status_revisao
"27","1575","25020-140","Rua José de Alvarenga","449","","Centro","Duque de Caxias","RJ","Sim","Sim","Seller","sonhodospes43","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"28","1576","22755-158","Estrada de Jacarepaguá","7880","Lj C e D","Freguesia (Jacarepaguá)","Rio de Janeiro","RJ","Sim","Sim","Seller","sonhodospes45","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"29","1577","20560-032","Rua Barão de São Francisco","236","Ljs. 10/11","Andaraí","Rio de Janeiro","RJ","Sim","Sim","Seller","sonhodospes49","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"30","1578","22640-904","Avenida das Américas","500","Bl. 04 Lj 103","Barra da Tijuca","Rio de Janeiro","RJ","Sim","Sim","Seller","sonhodospes50","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"31","1579","24800-130","Praça Roberto Pereira dos Santos","39","Loja B","Centro","Itaboraí","RJ","Sim","Sim","Seller","sonhodospes54","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"32","1580","21032-025","Rua Cardoso de Morais","49","","Ramos","Rio de Janeiro","RJ","Sim","Sim","Seller","sonhodospes55","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"33","1581","22755-158","Estrada de Jacarepaguá","7880","Lj C e D","Freguesia (Jacarepaguá)","Rio de Janeiro","RJ","Sim","Sim","Seller","sonhodospes58","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"34","1582","22755-158","Estrada de Jacarepaguá","7880","Lj C e D","Freguesia (Jacarepaguá)","Rio de Janeiro","RJ","Sim","Sim","Seller","1","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"35","1583","20720-010","Rua Dias da Cruz","203"," Loja A","Méier","Rio de Janeiro","RJ","Sim","Sim","Seller","sonhodospes69","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"36","1584","22640-102","Avenida das Américas","4666","Loja 116 C/D","Barra da Tijuca","Rio de Janeiro","RJ","Sim","Sim","Seller","sonhodospes72","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"37","1585","22410-002","Rua Visconde de Pirajá","540","","Ipanema","Rio de Janeiro","RJ","Sim","Sim","Seller","sonhodospes73","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"38","1586","20771-004","Avenida Dom Hélder Câmara","5332","","Cachambi","Rio de Janeiro","RJ","Sim","Sim","Seller","sonhodospes74","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"39","1587","24020-125","Rua Quinze de Novembro","8","1° piso Espaço 175","Centro","Niterói","RJ","Sim","Sim","Seller","sonhodospes77","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"40","1588","21350-302","Avenida Ministro Edgard Romero","50","","Madureira","Rio de Janeiro","RJ","Sim","Sim","Seller","sonhodospes79","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"41","1589","22743-311","Estrada Campo da Areia","132","casa","Pechincha","Rio de Janeiro","RJ","Sim","Sim","Seller","sonhodospes80","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"42","1590","20765-000","Avenida Pastor Martin Luther King Jr","126"," Loja 539","Del Castilho","Rio de Janeiro","RJ","Sim","Sim","Seller","sonhodospes81","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"43","1591","13087-901","Avenida Guilherme Campos","500"," LOJA 233A","Jardim Santa Genebra","Campinas","SP","Sim","Sim","Seller","sonhodospes83","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"44","1592","28950-795","Travessa dos Pescadores","30","Loja 05","Centro (Mangue)","Armação dos Búzios","RJ","Sim","Sim","Seller","sonhodospes84","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"45","1593","23900-421","Rua do Comércio","135","","Centro","Angra dos Reis","RJ","Sim","Sim","Seller","sonhodospes85","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"46","1594","22050-001","Avenida Nossa Senhora de Copacabana","680","C/2","Copacabana","Rio de Janeiro","RJ","Sim","Sim","Seller","sonhodospes87","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"47","1595","76820-408","Avenida Prefeito Chiquilito Erse","3288","PAVMTO1 LOJA 114/27 ","Flodoaldo Pontes Pinto","Porto Velho","RO","Sim","Sim","Seller","sonhodospes89","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"48","1596","20511-000","Avenida Maracanã","987","1º piso loja 1070","Tijuca","Rio de Janeiro","RJ","Sim","Sim","Seller","sonhodospes90","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"49","1620","26210-060","Avenida Governador Amaral Peixoto","122","","Centro","Nova Iguaçu","RJ","Sim","Sim","Seller","sonhodospes47","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"50","1621","56304-160","Avenida Monsenhor Ângelo Sampaio","100","Loja 58","Centro","Petrolina","PE","Sim","Sim","Seller","sonhodospes3211","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"51","1622","63041-145","Avenida Padre Cícero","2555","","Prefeito Carlos Alberto da Cruz","Juazeiro do Norte","CE","Sim","Sim","Seller","sonhodospes3217","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"52","1623","56302-370","Avenida Souza Filho","508","","Centro","Petrolina","PE","Sim","Sim","Seller","sonhodospes3237","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"53","1624","55024-740","Avenida Adjar da Silva Casé","800","Loja 142","Indianópolis","Caruaru","PE","Sim","Sim","Seller","sonhodospes3238","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"54","1625","70077-900","SDN Lote Único","0","Conjunto A - Loja T-58 A 1o piso","Asa Norte","Brasília","DF","Sim","Sim","Seller","sonhodospes3245","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"55","1626","27253-223","Avenida Amaral Peixoto","341","","São João","Volta Redonda","RJ","Sim","Sim","Seller","sonhodospes3250","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"56","1627","27345-390","Avenida Joaquim Leite","43","D","Centro","Barra Mansa","RJ","Sim","Sim","Seller","sonhodospes3251","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"57","1628","27542-170","Rua Alfredo Whately","65","","Campos Elíseos","Resende","RJ","Sim","Sim","Seller","sonhodospes3252","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"58","1629","27123-000","Rua Governador Portela","126","","Centro","Barra do Piraí","RJ","Sim","Sim","Seller","sonhodospes3254","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"59","1630","25803-010","Rua Prefeito Walter Francklin","130","","Centro","Três Rios","RJ","Sim","Sim","Seller","sonhodospes3255","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"60","1631","27600-246","Avenida Nilo Peçanha","283","","Centro","Valença","RJ","Sim","Sim","Seller","sonhodospes3256","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"61","1632","72876-301","Quadra 1","12","","Parque Esplanada III","Valparaíso de Goiás","GO","Sim","Sim","Seller","sonhodospes3270","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"62","1633","25071-182","Avenida Perimetral Brigadeiro Lima e Silva","2000","C: LOJA B - B","Jardim Vinte e Cinco de Agosto","Duque de Caxias","RJ","Sim","Sim","Seller","sonhodospes3283","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"63","1634","36200-008","Praça Andradas","111","","Centro","Barbacena","MG","Sim","Sim","Seller","sonhodospes3293","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"64","1635","70307-902","Setor Comercial Sul Número","0","Q. 6","Asa Sul","Brasília","DF","Sim","Sim","Seller","sonhodospes3301","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"65","1636","09080-510","Avenida Industrial ","600"," Loja SUC 136","Campestre","Santo André","SP","Sim","Sim","Seller","sonhodospes3306","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"66","1637","22713-372","Estrada Rodrigues Caldas","127"," Loja 136 137 ","Taquara","Rio de Janeiro","RJ","Sim","Sim","Seller","sonhodospes3335","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"67","1638","21920-445","Avenida Maestro Paulo Silva","400","Lj 220","Jardim Carioca","Rio de Janeiro","RJ","Sim","Sim","Seller","sonhodospes3362","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"68","1639","36010-002","Rua Halfeld","821","","Centro","Juiz de Fora","MG","Sim","Sim","Seller","sonhodospes3363","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"69","1640","36033-318","Avenida Presidente Itamar Franco","114","","Cascatinha","Juiz de Fora","MG","Sim","Sim","Seller","sonhodospes3364","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"70","1641","20511-170","Rua Santo Afonso","413","","Tijuca","Rio de Janeiro","RJ","Sim","Sim","Seller","sonhodospes3365","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"71","1642","25620-002","Rua do Imperador","461","","Centro","Petrópolis","RJ","Sim","Sim","Seller","sonhodospes3369","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"72","1643","25620-150","Rua Marechal Deodoro","153","","Centro","Petrópolis","RJ","Sim","Sim","Seller","sonhodospes3370","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"73","1654","31744-007","Avenida Cristiano Machado","11833","Piso L2 - Loja SEB2078","Vila Cloris","Belo Horizonte","MG","Sim","Sim","Seller","sonhodospes3340","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"74","1658","20050-090","Rua Uruguaiana","72","","Centro","Rio de Janeiro","RJ","Não","Sim","Seller","","Não","Nenhuma","principal","Não cadastrar: inativa e sem ID restritor"
"75","1659","20050-090","Rua Uruguaiana","72","","Centro","Rio de Janeiro","RJ","Não","Não","Seller","","Não","Nenhuma","principal","Não cadastrar: inativa e sem ID restritor"
"76","1660","35500-005","Avenida Antônio Olímpio de Morais","319","","Centro","Divinópolis","MG","Sim","Sim","Seller","sonhodospes3355","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"77","1661","20051-040","Avenida Passos","91","Loja B","Centro","Rio de Janeiro","RJ","Sim","Sim","Seller","sonhodospes3383","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"78","1700","49152-378","Avenida Moacir Oliveira","0","S/N - Loja 85","Distrito Industrial da Taiçoca","Nossa Senhora do Socorro","SE","Sim","Sim","Seller","sonhodospes3348","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"79","1775","65130-000","Estrada de São José de Ribamar, MA-201, Km-05","1000","Loja 183","Saramanta","São José de Ribamar","MA","Sim","Sim","Seller","sonhodospes3343","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"80","1776","26900-000","Rua Áurea Pinheiro","65","A","Centro","Miguel Pereira","RJ","Sim","Sim","Seller","sonhodospes3346","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"81","1779","25230-480","Avenida Dona Tereza Cristina","2000","","Chácaras Rio-Petrópolis","Duque de Caxias","RJ","Sim","Sim","Seller","sonhodospes201","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"82","1780","70077-900","SDN Lote Único","0","loja T-58 1 piso","Asa Norte","Brasília","DF","Sim","Sim","Seller","sonhodospes3386","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"83","1781","22221-901","Largo do Machado","29","Loja D","Catete","Rio de Janeiro","RJ","Sim","Sim","Seller","sonhodospes3390","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"84","1803","03126-000","Rua Capitão Pacheco e Chaves","313","","Vila Prudente","São Paulo","SP","Sim","Sim","Seller","sonhodospes3298","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"85","1804","28613-000","Avenida Alberto Braune","27","loja 3","Centro","Nova Friburgo","RJ","Sim","Sim","Seller","sonhodospes3352","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"86","1805","29345-000","Rua Jose Braz de Farias","218","","Marataízes","Marataízes","ES","Sim","Sim","Seller","sonhodospes3372","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"87","1806","39800-015","Avenida Getúlio Vargas","1131","Em frente a Caixa Economica Federal","Centro","Teófilo Otoni","MG","Sim","Sim","Seller","sonhodospes3373","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"88","1817","21351-051","Estrada do Portela","222","LOJA 159","Madureira","Rio de Janeiro","RJ","Sim","Sim","Seller","sonhodospes3393","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"89","1818","20050-006","Rua Sete de Setembro","121","","Centro","Rio de Janeiro","RJ","Sim","Sim","Seller","sonhodospes3397","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"90","1872","26950-000","Rua sebatasiao Lacerda","53","","Centro","Paty do Alferes","RJ","Sim","Sim","Seller","sonhodospes3389","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"91","1873","23810-201","Rua Doutor Curvelo Cavalcanti","253","","Centro","Itaguaí","RJ","Sim","Sim","Seller","sonhodospes3381","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"92","1874","45200-231","Rua Barbosa de Souza","166","","Centro","Jequié","BA","Sim","Sim","Seller","sonhodospes3389","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"93","1875","","","","","","","","Sim","Sim","Seller","sonhodospes3398","Não","Nenhuma","principal","Não cadastrar: endereço incompleto"
"94","1880","64003-087","Avenida Marechal Castelo Branco","911","","Porenquanto","Teresina","PI","Sim","Sim","Seller","sonhodospes3326","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"95","1883","60833-005","Avenida Washington Soares","4335","Loja 127- Térreo","Sapiranga-Coité","Fortaleza","CE","Sim","Sim","Seller","sonhodospes3233","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"96","1884","60325-002","Avenida Bezerra de Menezes","2450","Piso 2, loja 207","Presidente Kennedy","Fortaleza","CE","Sim","Sim","Seller","sonhodospes3234","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"97","1885","60740-020","Rua Germano Franck","300","","Parangaba","Fortaleza","CE","Sim","Sim","Seller","sonhodospes3313","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"98","1886","30120-020","Avenida Paraná","3000","Loja 1003","Centro","Belo Horizonte","MG","Sim","Sim","Seller","sonhodospes48","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"99","1945","45200-231","Rua Barbosa de Souza","166","Loja 17","Centro","Jequié","BA","Sim","Sim","Seller","sonhodospes3398","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
