ordem_origem,id_genius,nome_v2,id_plataforma_v2,cnpj_v2,cep,numero,rua,complemento,bairro,cidade,estado,retorno_para_origem,id_restritor_genius,observacao
"12","1560","Loja sonhodospes16","sonhodospes16","28.445.729/0001-90","24710-465","34","Praça Carlos Gianelli","","Alcântara","São Gonçalo","RJ","Sim","sonhodospes16","Cadastrar como retorno para o seller identificado pelo ID restritor"
"13","1561","Loja sonhodospes18","sonhodospes18","28.445.729/0001-90","20050-006","121","Rua Sete de Setembro","","Centro","Rio de Janeiro","RJ","Sim","sonhodospes18","Cadastrar como retorno para o seller identificado pelo ID restritor"
"14","1562","Loja sonhodospes22","sonhodospes22","28.445.729/0001-90","23050-360","36","Rua Coronel Agostinho"," Loja A","Campo Grande","Rio de Janeiro","RJ","Sim","sonhodospes22","Cadastrar como retorno para o seller identificado pelo ID restritor"
"15","1563","Loja sonhodospes25","sonhodospes25","28.445.729/0001-90","21810-011","161","Avenida Cônego de Vasconcelos"," Loja A","Bangu","Rio de Janeiro","RJ","Sim","sonhodospes25","Cadastrar como retorno para o seller identificado pelo ID restritor"
"16","1564","Loja sonhodospes27","sonhodospes27","28.445.729/0001-90","22221-020","29","Largo do Machado","Loja D","Catete","Rio de Janeiro","RJ","Sim","sonhodospes27","Cadastrar como retorno para o seller identificado pelo ID restritor"
"17","1565","Loja sonhodospes28","sonhodospes28","28.445.729/0001-90","23510-006","131","Rua Felipe Cardoso","","Santa Cruz","Rio de Janeiro","RJ","Sim","sonhodospes28","Cadastrar como retorno para o seller identificado pelo ID restritor"
"18","1566","Loja sonhodospes29","sonhodospes29","28.445.729/0001-90","24466-315","100","Avenida São Gonçalo"," Esp. Com. 202/203","Boa Vista","São Gonçalo","RJ","Sim","sonhodospes29","Cadastrar como retorno para o seller identificado pelo ID restritor"
"19","1567","Loja sonhodospes30","sonhodospes30","28.445.729/0001-90","24440-440","259","Rua Doutor Feliciano Sodré","","Centro","São Gonçalo","RJ","Sim","sonhodospes30","Cadastrar como retorno para o seller identificado pelo ID restritor"
"20","1568","Loja sonhodospes31","sonhodospes31","28.445.729/0001-90","22730-001","1312","Avenida Nelson Cardoso"," Lojas A/B","Taquara","Rio de Janeiro","RJ","Sim","sonhodospes31","Cadastrar como retorno para o seller identificado pelo ID restritor"
"21","1569","Loja sonhodospes32","sonhodospes32","28.445.729/0001-90","20051-040","91","Avenida Passos"," Loja B","Centro","Rio de Janeiro","RJ","Sim","sonhodospes32","Cadastrar como retorno para o seller identificado pelo ID restritor"
"22","1570","Loja sonhodospes36","sonhodospes36","28.445.729/0001-90","24230-050","265","Rua Ator Paulo Gustavo"," Loja 110","Icaraí","Niterói","RJ","Sim","sonhodospes36","Cadastrar como retorno para o seller identificado pelo ID restritor"
"23","1571","Loja sonhodospes37","sonhodospes37","28.445.729/0001-90","22220-001","257","Rua do Catete","Loja A","Catete","Rio de Janeiro","RJ","Sim","sonhodospes37","Cadastrar como retorno para o seller identificado pelo ID restritor"
"24","1572","Loja sonhodospes38","sonhodospes38","28.445.729/0001-90","21210-623","909","Avenida Vicente de Carvalho"," Lj 103","Vila da Penha","Rio de Janeiro","RJ","Sim","sonhodospes38","Cadastrar como retorno para o seller identificado pelo ID restritor"
"25","1573","Loja sonhodospes40","sonhodospes40","28.445.729/0001-90","26285-060","540","Avenida Governador Roberto Silveira","Loja 272","Moquetá","Nova Iguaçu","RJ","Sim","sonhodospes40","Cadastrar como retorno para o seller identificado pelo ID restritor"
"26","1574","Loja sonhodospes41","sonhodospes41","28.445.729/0001-90","26210-060","383","Avenida Governador Amaral Peixoto","","Centro","Nova Iguaçu","RJ","Sim","sonhodospes41","Cadastrar como retorno para o seller identificado pelo ID restritor"
"27","1575","Loja sonhodospes43","sonhodospes43","28.445.729/0001-90","25020-140","449","Rua José de Alvarenga","","Centro","Duque de Caxias","RJ","Sim","sonhodospes43","Cadastrar como retorno para o seller identificado pelo ID restritor"
"28","1576","Loja sonhodospes45","sonhodospes45","28.445.729/0001-90","22755-158","7880","Estrada de Jacarepaguá","Lj C e D","Freguesia (Jacarepaguá)","Rio de Janeiro","RJ","Sim","sonhodospes45","Cadastrar como retorno para o seller identificado pelo ID restritor"
"29","1577","Loja sonhodospes49","sonhodospes49","28.445.729/0001-90","20560-032","236","Rua Barão de São Francisco","Ljs. 10/11","Andaraí","Rio de Janeiro","RJ","Sim","sonhodospes49","Cadastrar como retorno para o seller identificado pelo ID restritor"
"30","1578","Loja sonhodospes50","sonhodospes50","28.445.729/0001-90","22640-904","500","Avenida das Américas","Bl. 04 Lj 103","Barra da Tijuca","Rio de Janeiro","RJ","Sim","sonhodospes50","Cadastrar como retorno para o seller identificado pelo ID restritor"
"31","1579","Loja sonhodospes54","sonhodospes54","28.445.729/0001-90","24800-130","39","Praça Roberto Pereira dos Santos","Loja B","Centro","Itaboraí","RJ","Sim","sonhodospes54","Cadastrar como retorno para o seller identificado pelo ID restritor"
"32","1580","Loja sonhodospes55","sonhodospes55","28.445.729/0001-90","21032-025","49","Rua Cardoso de Morais","","Ramos","Rio de Janeiro","RJ","Sim","sonhodospes55","Cadastrar como retorno para o seller identificado pelo ID restritor"
"33","1581","Loja sonhodospes58","sonhodospes58","28.445.729/0001-90","22755-158","7880","Estrada de Jacarepaguá","Lj C e D","Freguesia (Jacarepaguá)","Rio de Janeiro","RJ","Sim","sonhodospes58","Cadastrar como retorno para o seller identificado pelo ID restritor"
"34","1582","Loja 1","1","28.445.729/0001-90","22755-158","7880","Estrada de Jacarepaguá","Lj C e D","Freguesia (Jacarepaguá)","Rio de Janeiro","RJ","Sim","1","Cadastrar como retorno para o seller identificado pelo ID restritor"
"35","1583","Loja sonhodospes69","sonhodospes69","28.445.729/0001-90","20720-010","203","Rua Dias da Cruz"," Loja A","Méier","Rio de Janeiro","RJ","Sim","sonhodospes69","Cadastrar como retorno para o seller identificado pelo ID restritor"
"36","1584","Loja sonhodospes72","sonhodospes72","28.445.729/0001-90","22640-102","4666","Avenida das Américas","Loja 116 C/D","Barra da Tijuca","Rio de Janeiro","RJ","Sim","sonhodospes72","Cadastrar como retorno para o seller identificado pelo ID restritor"
"37","1585","Loja sonhodospes73","sonhodospes73","28.445.729/0001-90","22410-002","540","Rua Visconde de Pirajá","","Ipanema","Rio de Janeiro","RJ","Sim","sonhodospes73","Cadastrar como retorno para o seller identificado pelo ID restritor"
"38","1586","Loja sonhodospes74","sonhodospes74","28.445.729/0001-90","20771-004","5332","Avenida Dom Hélder Câmara","","Cachambi","Rio de Janeiro","RJ","Sim","sonhodospes74","Cadastrar como retorno para o seller identificado pelo ID restritor"
"39","1587","Loja sonhodospes77","sonhodospes77","28.445.729/0001-90","24020-125","8","Rua Quinze de Novembro","1° piso Espaço 175","Centro","Niterói","RJ","Sim","sonhodospes77","Cadastrar como retorno para o seller identificado pelo ID restritor"
"40","1588","Loja sonhodospes79","sonhodospes79","28.445.729/0001-90","21350-302","50","Avenida Ministro Edgard Romero","","Madureira","Rio de Janeiro","RJ","Sim","sonhodospes79","Cadastrar como retorno para o seller identificado pelo ID restritor"
"41","1589","Loja sonhodospes80","sonhodospes80","28.445.729/0001-90","22743-311","132","Estrada Campo da Areia","casa","Pechincha","Rio de Janeiro","RJ","Sim","sonhodospes80","Cadastrar como retorno para o seller identificado pelo ID restritor"
"42","1590","Loja sonhodospes81","sonhodospes81","28.445.729/0001-90","20765-000","126","Avenida Pastor Martin Luther King Jr"," Loja 539","Del Castilho","Rio de Janeiro","RJ","Sim","sonhodospes81","Cadastrar como retorno para o seller identificado pelo ID restritor"
"43","1591","Loja sonhodospes83","sonhodospes83","28.445.729/0001-90","13087-901","500","Avenida Guilherme Campos"," LOJA 233A","Jardim Santa Genebra","Campinas","SP","Sim","sonhodospes83","Cadastrar como retorno para o seller identificado pelo ID restritor"
"44","1592","Loja sonhodospes84","sonhodospes84","28.445.729/0001-90","28950-795","30","Travessa dos Pescadores","Loja 05","Centro (Mangue)","Armação dos Búzios","RJ","Sim","sonhodospes84","Cadastrar como retorno para o seller identificado pelo ID restritor"
"45","1593","Loja sonhodospes85","sonhodospes85","28.445.729/0001-90","23900-421","135","Rua do Comércio","","Centro","Angra dos Reis","RJ","Sim","sonhodospes85","Cadastrar como retorno para o seller identificado pelo ID restritor"
"46","1594","Loja sonhodospes87","sonhodospes87","28.445.729/0001-90","22050-001","680","Avenida Nossa Senhora de Copacabana","C/2","Copacabana","Rio de Janeiro","RJ","Sim","sonhodospes87","Cadastrar como retorno para o seller identificado pelo ID restritor"
"47","1595","Loja sonhodospes89","sonhodospes89","28.445.729/0001-90","76820-408","3288","Avenida Prefeito Chiquilito Erse","PAVMTO1 LOJA 114/27 ","Flodoaldo Pontes Pinto","Porto Velho","RO","Sim","sonhodospes89","Cadastrar como retorno para o seller identificado pelo ID restritor"
"48","1596","Loja sonhodospes90","sonhodospes90","28.445.729/0001-90","20511-000","987","Avenida Maracanã","1º piso loja 1070","Tijuca","Rio de Janeiro","RJ","Sim","sonhodospes90","Cadastrar como retorno para o seller identificado pelo ID restritor"
"49","1620","Loja sonhodospes47","sonhodospes47","28.445.729/0001-90","26210-060","122","Avenida Governador Amaral Peixoto","","Centro","Nova Iguaçu","RJ","Sim","sonhodospes47","Cadastrar como retorno para o seller identificado pelo ID restritor"
"50","1621","Loja sonhodospes3211","sonhodospes3211","28.445.729/0001-90","56304-160","100","Avenida Monsenhor Ângelo Sampaio","Loja 58","Centro","Petrolina","PE","Sim","sonhodospes3211","Cadastrar como retorno para o seller identificado pelo ID restritor"
"51","1622","Loja sonhodospes3217","sonhodospes3217","28.445.729/0001-90","63041-145","2555","Avenida Padre Cícero","","Prefeito Carlos Alberto da Cruz","Juazeiro do Norte","CE","Sim","sonhodospes3217","Cadastrar como retorno para o seller identificado pelo ID restritor"
"52","1623","Loja sonhodospes3237","sonhodospes3237","28.445.729/0001-90","56302-370","508","Avenida Souza Filho","","Centro","Petrolina","PE","Sim","sonhodospes3237","Cadastrar como retorno para o seller identificado pelo ID restritor"
"53","1624","Loja sonhodospes3238","sonhodospes3238","28.445.729/0001-90","55024-740","800","Avenida Adjar da Silva Casé","Loja 142","Indianópolis","Caruaru","PE","Sim","sonhodospes3238","Cadastrar como retorno para o seller identificado pelo ID restritor"
"54","1625","Loja sonhodospes3245","sonhodospes3245","28.445.729/0001-90","70077-900","0","SDN Lote Único","Conjunto A - Loja T-58 A 1o piso","Asa Norte","Brasília","DF","Sim","sonhodospes3245","Cadastrar como retorno para o seller identificado pelo ID restritor"
"55","1626","Loja sonhodospes3250","sonhodospes3250","28.445.729/0001-90","27253-223","341","Avenida Amaral Peixoto","","São João","Volta Redonda","RJ","Sim","sonhodospes3250","Cadastrar como retorno para o seller identificado pelo ID restritor"
"56","1627","Loja sonhodospes3251","sonhodospes3251","28.445.729/0001-90","27345-390","43","Avenida Joaquim Leite","D","Centro","Barra Mansa","RJ","Sim","sonhodospes3251","Cadastrar como retorno para o seller identificado pelo ID restritor"
"57","1628","Loja sonhodospes3252","sonhodospes3252","28.445.729/0001-90","27542-170","65","Rua Alfredo Whately","","Campos Elíseos","Resende","RJ","Sim","sonhodospes3252","Cadastrar como retorno para o seller identificado pelo ID restritor"
"58","1629","Loja sonhodospes3254","sonhodospes3254","28.445.729/0001-90","27123-000","126","Rua Governador Portela","","Centro","Barra do Piraí","RJ","Sim","sonhodospes3254","Cadastrar como retorno para o seller identificado pelo ID restritor"
"59","1630","Loja sonhodospes3255","sonhodospes3255","28.445.729/0001-90","25803-010","130","Rua Prefeito Walter Francklin","","Centro","Três Rios","RJ","Sim","sonhodospes3255","Cadastrar como retorno para o seller identificado pelo ID restritor"
"60","1631","Loja sonhodospes3256","sonhodospes3256","28.445.729/0001-90","27600-246","283","Avenida Nilo Peçanha","","Centro","Valença","RJ","Sim","sonhodospes3256","Cadastrar como retorno para o seller identificado pelo ID restritor"
"61","1632","Loja sonhodospes3270","sonhodospes3270","28.445.729/0001-90","72876-301","12","Quadra 1","","Parque Esplanada III","Valparaíso de Goiás","GO","Sim","sonhodospes3270","Cadastrar como retorno para o seller identificado pelo ID restritor"
"62","1633","Loja sonhodospes3283","sonhodospes3283","28.445.729/0001-90","25071-182","2000","Avenida Perimetral Brigadeiro Lima e Silva","C: LOJA B - B","Jardim Vinte e Cinco de Agosto","Duque de Caxias","RJ","Sim","sonhodospes3283","Cadastrar como retorno para o seller identificado pelo ID restritor"
"63","1634","Loja sonhodospes3293","sonhodospes3293","28.445.729/0001-90","36200-008","111","Praça Andradas","","Centro","Barbacena","MG","Sim","sonhodospes3293","Cadastrar como retorno para o seller identificado pelo ID restritor"
"64","1635","Loja sonhodospes3301","sonhodospes3301","28.445.729/0001-90","70307-902","0","Setor Comercial Sul Número","Q. 6","Asa Sul","Brasília","DF","Sim","sonhodospes3301","Cadastrar como retorno para o seller identificado pelo ID restritor"
"65","1636","Loja sonhodospes3306","sonhodospes3306","28.445.729/0001-90","09080-510","600","Avenida Industrial "," Loja SUC 136","Campestre","Santo André","SP","Sim","sonhodospes3306","Cadastrar como retorno para o seller identificado pelo ID restritor"
"66","1637","Loja sonhodospes3335","sonhodospes3335","28.445.729/0001-90","22713-372","127","Estrada Rodrigues Caldas"," Loja 136 137 ","Taquara","Rio de Janeiro","RJ","Sim","sonhodospes3335","Cadastrar como retorno para o seller identificado pelo ID restritor"
"67","1638","Loja sonhodospes3362","sonhodospes3362","28.445.729/0001-90","21920-445","400","Avenida Maestro Paulo Silva","Lj 220","Jardim Carioca","Rio de Janeiro","RJ","Sim","sonhodospes3362","Cadastrar como retorno para o seller identificado pelo ID restritor"
"68","1639","Loja sonhodospes3363","sonhodospes3363","28.445.729/0001-90","36010-002","821","Rua Halfeld","","Centro","Juiz de Fora","MG","Sim","sonhodospes3363","Cadastrar como retorno para o seller identificado pelo ID restritor"
"69","1640","Loja sonhodospes3364","sonhodospes3364","28.445.729/0001-90","36033-318","114","Avenida Presidente Itamar Franco","","Cascatinha","Juiz de Fora","MG","Sim","sonhodospes3364","Cadastrar como retorno para o seller identificado pelo ID restritor"
"70","1641","Loja sonhodospes3365","sonhodospes3365","28.445.729/0001-90","20511-170","413","Rua Santo Afonso","","Tijuca","Rio de Janeiro","RJ","Sim","sonhodospes3365","Cadastrar como retorno para o seller identificado pelo ID restritor"
"71","1642","Loja sonhodospes3369","sonhodospes3369","28.445.729/0001-90","25620-002","461","Rua do Imperador","","Centro","Petrópolis","RJ","Sim","sonhodospes3369","Cadastrar como retorno para o seller identificado pelo ID restritor"
"72","1643","Loja sonhodospes3370","sonhodospes3370","28.445.729/0001-90","25620-150","153","Rua Marechal Deodoro","","Centro","Petrópolis","RJ","Sim","sonhodospes3370","Cadastrar como retorno para o seller identificado pelo ID restritor"
"73","1654","Loja sonhodospes3340","sonhodospes3340","28.445.729/0001-90","31744-007","11833","Avenida Cristiano Machado","Piso L2 - Loja SEB2078","Vila Cloris","Belo Horizonte","MG","Sim","sonhodospes3340","Cadastrar como retorno para o seller identificado pelo ID restritor"
"76","1660","Loja sonhodospes3355","sonhodospes3355","28.445.729/0001-90","35500-005","319","Avenida Antônio Olímpio de Morais","","Centro","Divinópolis","MG","Sim","sonhodospes3355","Cadastrar como retorno para o seller identificado pelo ID restritor"
"77","1661","Loja sonhodospes3383","sonhodospes3383","28.445.729/0001-90","20051-040","91","Avenida Passos","Loja B","Centro","Rio de Janeiro","RJ","Sim","sonhodospes3383","Cadastrar como retorno para o seller identificado pelo ID restritor"
"78","1700","Loja sonhodospes3348","sonhodospes3348","28.445.729/0001-90","49152-378","0","Avenida Moacir Oliveira","S/N - Loja 85","Distrito Industrial da Taiçoca","Nossa Senhora do Socorro","SE","Sim","sonhodospes3348","Cadastrar como retorno para o seller identificado pelo ID restritor"
"79","1775","Loja sonhodospes3343","sonhodospes3343","28.445.729/0001-90","65130-000","1000","Estrada de São José de Ribamar, MA-201, Km-05","Loja 183","Saramanta","São José de Ribamar","MA","Sim","sonhodospes3343","Cadastrar como retorno para o seller identificado pelo ID restritor"
"80","1776","Loja sonhodospes3346","sonhodospes3346","28.445.729/0001-90","26900-000","65","Rua Áurea Pinheiro","A","Centro","Miguel Pereira","RJ","Sim","sonhodospes3346","Cadastrar como retorno para o seller identificado pelo ID restritor"
"81","1779","Loja sonhodospes201","sonhodospes201","28.445.729/0001-90","25230-480","2000","Avenida Dona Tereza Cristina","","Chácaras Rio-Petrópolis","Duque de Caxias","RJ","Sim","sonhodospes201","Cadastrar como retorno para o seller identificado pelo ID restritor"
"82","1780","Loja sonhodospes3386","sonhodospes3386","28.445.729/0001-90","70077-900","0","SDN Lote Único","loja T-58 1 piso","Asa Norte","Brasília","DF","Sim","sonhodospes3386","Cadastrar como retorno para o seller identificado pelo ID restritor"
"83","1781","Loja sonhodospes3390","sonhodospes3390","28.445.729/0001-90","22221-901","29","Largo do Machado","Loja D","Catete","Rio de Janeiro","RJ","Sim","sonhodospes3390","Cadastrar como retorno para o seller identificado pelo ID restritor"
"84","1803","Loja sonhodospes3298","sonhodospes3298","28.445.729/0001-90","03126-000","313","Rua Capitão Pacheco e Chaves","","Vila Prudente","São Paulo","SP","Sim","sonhodospes3298","Cadastrar como retorno para o seller identificado pelo ID restritor"
"85","1804","Loja sonhodospes3352","sonhodospes3352","28.445.729/0001-90","28613-000","27","Avenida Alberto Braune","loja 3","Centro","Nova Friburgo","RJ","Sim","sonhodospes3352","Cadastrar como retorno para o seller identificado pelo ID restritor"
"86","1805","Loja sonhodospes3372","sonhodospes3372","28.445.729/0001-90","29345-000","218","Rua Jose Braz de Farias","","Marataízes","Marataízes","ES","Sim","sonhodospes3372","Cadastrar como retorno para o seller identificado pelo ID restritor"
"87","1806","Loja sonhodospes3373","sonhodospes3373","28.445.729/0001-90","39800-015","1131","Avenida Getúlio Vargas","Em frente a Caixa Economica Federal","Centro","Teófilo Otoni","MG","Sim","sonhodospes3373","Cadastrar como retorno para o seller identificado pelo ID restritor"
"88","1817","Loja sonhodospes3393","sonhodospes3393","28.445.729/0001-90","21351-051","222","Estrada do Portela","LOJA 159","Madureira","Rio de Janeiro","RJ","Sim","sonhodospes3393","Cadastrar como retorno para o seller identificado pelo ID restritor"
"89","1818","Loja sonhodospes3397","sonhodospes3397","28.445.729/0001-90","20050-006","121","Rua Sete de Setembro","","Centro","Rio de Janeiro","RJ","Sim","sonhodospes3397","Cadastrar como retorno para o seller identificado pelo ID restritor"
"90","1872","Loja sonhodospes3389","sonhodospes3389","28.445.729/0001-90","26950-000","53","Rua sebatasiao Lacerda","","Centro","Paty do Alferes","RJ","Sim","sonhodospes3389","Cadastrar como retorno para o seller identificado pelo ID restritor"
"91","1873","Loja sonhodospes3381","sonhodospes3381","28.445.729/0001-90","23810-201","253","Rua Doutor Curvelo Cavalcanti","","Centro","Itaguaí","RJ","Sim","sonhodospes3381","Cadastrar como retorno para o seller identificado pelo ID restritor"
"92","1874","Loja sonhodospes3389","sonhodospes3389","28.445.729/0001-90","45200-231","166","Rua Barbosa de Souza","","Centro","Jequié","BA","Sim","sonhodospes3389","Cadastrar como retorno para o seller identificado pelo ID restritor"
"94","1880","Loja sonhodospes3326","sonhodospes3326","28.445.729/0001-90","64003-087","911","Avenida Marechal Castelo Branco","","Porenquanto","Teresina","PI","Sim","sonhodospes3326","Cadastrar como retorno para o seller identificado pelo ID restritor"
"95","1883","Loja sonhodospes3233","sonhodospes3233","28.445.729/0001-90","60833-005","4335","Avenida Washington Soares","Loja 127- Térreo","Sapiranga-Coité","Fortaleza","CE","Sim","sonhodospes3233","Cadastrar como retorno para o seller identificado pelo ID restritor"
"96","1884","Loja sonhodospes3234","sonhodospes3234","28.445.729/0001-90","60325-002","2450","Avenida Bezerra de Menezes","Piso 2, loja 207","Presidente Kennedy","Fortaleza","CE","Sim","sonhodospes3234","Cadastrar como retorno para o seller identificado pelo ID restritor"
"97","1885","Loja sonhodospes3313","sonhodospes3313","28.445.729/0001-90","60740-020","300","Rua Germano Franck","","Parangaba","Fortaleza","CE","Sim","sonhodospes3313","Cadastrar como retorno para o seller identificado pelo ID restritor"
"98","1886","Loja sonhodospes48","sonhodospes48","28.445.729/0001-90","30120-020","3000","Avenida Paraná","Loja 1003","Centro","Belo Horizonte","MG","Sim","sonhodospes48","Cadastrar como retorno para o seller identificado pelo ID restritor"
"99","1945","Loja sonhodospes3398","sonhodospes3398","28.445.729/0001-90","45200-231","166","Rua Barbosa de Souza","Loja 17","Centro","Jequié","BA","Sim","sonhodospes3398","Cadastrar como retorno para o seller identificado pelo ID restritor"
